service_id,date,exception_type                                                                                                                                                                                                                                                                                                                                
2026-04-042026-04-06008021,20260404,2                                                                                                                                                                                                                                                                                                                         
2026-04-042026-04-06008021,20260405,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260224,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260225,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260226,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260228,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260301,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260302,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260303,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260304,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260305,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260307,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260308,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260309,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260310,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260311,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260312,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260314,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260315,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260316,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260317,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260318,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260319,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260321,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260322,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260323,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260324,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260325,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260326,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260328,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260329,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260330,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-03-31008051,20260331,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260224,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260225,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260226,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260227,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260228,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260302,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260303,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260304,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260305,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260306,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260307,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260309,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260310,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260311,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260312,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260313,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260314,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260316,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260317,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260318,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260319,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260320,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260321,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260323,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260324,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260325,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260326,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260327,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260328,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260330,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260331,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260401,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260402,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260403,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260404,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-04-06008081,20260406,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260228,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260301,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260307,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260308,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260314,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260315,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260321,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260322,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260328,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260329,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260404,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260405,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260411,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260412,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260418,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260419,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260425,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260426,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260502,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260503,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260509,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260510,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260516,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260517,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260523,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260524,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260530,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260531,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260606,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260607,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260613,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260614,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260620,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260621,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260627,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260628,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260704,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260705,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260711,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260712,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260718,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260719,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260725,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260726,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260801,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260802,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260808,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260809,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260815,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260816,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260822,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260823,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260829,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260830,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260905,2                                                                                                                                                                                                                                                                                                                         
2026-02-232026-09-06010711,20260906,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-09-06010721,20260301,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-09-06010721,20260308,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-09-06010721,20260315,2                                                                                                                                                                                                                                                                                                                         
2026-02-242026-09-06010721,20260322,2                                                                                                                                                                                                                                                                                                                         
