from_stop_id,to_stop_id,transfer_type,min_transfer_time
007103208,007103208,2,600
007103216,007103216,2,1200
007103410,007103410,2,900
007104040,007104040,2,900
007104104,007104104,2,1200
007108004,007108004,2,900
007110600,007110600,2,900
007117000,007117000,2,1200
007150500,007150500,2,900
007151003,007151003,2,1200
007154413,007154413,2,1200
007160000,007160000,2,1200
007160600,007160600,2,1200
007160911,007160911,2,900
007161200,007161200,2,600
007171801,007171801,2,1200
