trip_id,stop_sequence,stop_id,arrival_time,departure_time,drop_off_type,pickup_type
49,4,007108004,08:57:00,09:00:00,0,0
49,5,007110600,09:33:00,09:33:00,0,1
50,1,007161200,06:35:00,06:35:00,1,0
50,2,007103410,07:00:00,07:03:00,0,0
50,3,007160911,07:23:00,07:51:00,0,0
50,4,007160600,08:39:00,08:42:00,0,0
50,5,007103208,09:16:00,09:19:00,0,0
50,6,007117000,10:23:00,10:38:00,0,0
50,7,007108004,11:05:00,11:08:00,0,0
50,8,007110600,11:40:00,11:40:00,0,1
51,1,007110600,13:00:00,13:00:00,1,0
51,2,007108004,13:32:00,13:35:00,0,0
51,3,007117000,14:00:00,14:15:00,0,0
51,4,007103208,15:16:00,15:19:00,0,0
51,5,007160600,15:51:00,15:54:00,0,0
51,6,007160911,16:44:00,16:44:00,0,1
52,1,007110600,13:00:00,13:00:00,1,0
52,2,007108004,13:32:00,13:35:00,0,0
52,3,007117000,14:00:00,14:00:00,0,1
